"Gene.name" "Chromosome.scaffold.name" "Gene.start..bp." "Gene.end..bp." "p_values" "p_values_BH" "p_values_bf"
"ENSG00000165799" "RNASE7" 14 21042316 21044234 1 1 1
"ENSG00000165801" "ARHGEF40" 14 21070273 21090248 0.000472793051490987 0.00472236228839338 1
"ENSG00000165802" "NSMF" 9 137447570 137459334 1.18000487035352e-10 6.77431719109412e-09 2.20165308710559e-06
"ENSG00000165804" "ZNF219" 14 21090077 21104722 1 1 1
"ENSG00000165805" "C12orf50" 12 87980035 88034037 1 1 1
"ENSG00000165806" "CASP7" 10 113679162 113730907 1 1 1
"ENSG00000165807" "PPP1R36" 14 64549920 64589381 0.526533000834771 1 1
"ENSG00000165810" "BTNL9" 5 181040225 181061521 1.29235746261371e-11 9.72290545864782e-10 2.41128055374466e-07
"ENSG00000165813" "CCDC186" 10 114120862 114174232 1 1 1
"ENSG00000165816" "VWA2" 10 114239254 114294489 1 1 1
"ENSG00000165819" "METTL3" 14 21498133 21511342 1 1 1
"ENSG00000165821" "SALL2" 14 21521080 21537216 0.191532728928201 0.764573739054851 1
"ENSG00000165828" "PRAP1" 10 133347368 133352683 0.308271300736414 1 1
"ENSG00000165832" "TRUB1" 10 114938195 114977676 1 1 1
"ENSG00000165837" "ERICH6B" 13 45534522 45615739 1 1 1
"ENSG00000165841" "CYP2C19" 10 94762681 94855547 1 1 1
"ENSG00000165861" "ZFYVE1" 14 72969451 73027131 1 1 1
"ENSG00000165863" "SPMIP5" 10 116663696 116670264 1 1 1
"ENSG00000165868" "HSPA12A" 10 116671192 116850251 2.77611817781172e-15 6.2405798748929e-13 5.17968129616111e-11
"ENSG00000165879" "FRAT1" 10 97319271 97321915 1 1 1
"ENSG00000165886" "UBTD1" 10 97498924 97571206 1 1 1
"ENSG00000165887" "ANKRD2" 10 97572499 97583884 1 1 1
"ENSG00000165891" "E2F7" 12 77021248 77065569 0.000192358502000809 0.002151693603316 1
"ENSG00000165895" "ARHGAP42" 11 100687288 100993941 2.48786202764105e-08 7.85423514580825e-07 0.000464185297117267
"ENSG00000165898" "ISCA2" 14 74493756 74497106 1 1 1
"ENSG00000165899" "OTOGL" 12 80099537 80380880 0.0036607471256767 0.0278670827706552 1
"ENSG00000165905" "LARGE2" 11 45921621 45929096 0.000110185929437348 0.00130696063028737 1
"ENSG00000165912" "PACSIN3" 11 47177522 47186443 0.18310171727453 0.738502343473452 1
"ENSG00000165914" "TTC7B" 14 90524564 90816479 0.406466899861723 1 1
"ENSG00000165915" "SLC39A13" 11 47407132 47416496 1 1 1
"ENSG00000165916" "PSMC3" 11 47418769 47426473 1 1 1
"ENSG00000165917" "RAPSN" 11 47437764 47449143 0.00262499725635191 0.0210383156396108 1
"ENSG00000165923" "AGBL2" 11 47659591 47715389 0.000782348118642668 0.00731315190262269 1
"ENSG00000165929" "TC2N" 14 91779746 91867536 4.44442470791424e-06 7.74991366357607e-05 0.082924076200264
"ENSG00000165934" "CPSF2" 14 92121969 92172145 1 1 1
"ENSG00000165935" "SMCO2" 12 27446736 27502185 1 1 1
"ENSG00000165943" "MOAP1" 14 93182199 93184923 1 1 1
"ENSG00000165948" "IFI27L1" 14 94081301 94103846 1 1 1
"ENSG00000165949" "IFI27" 14 94104836 94116695 0.0147104300674182 0.0916112163544358 1
"ENSG00000165953" "SERPINA12" 14 94487274 94517844 1 1 1
"ENSG00000165959" "CLMN" 14 95181940 95319908 0.00139997499560211 0.0121945534397498 1
"ENSG00000165966" "PDZRN4" 12 41188320 41574745 0.0259510160891749 0.147611140874112 1
"ENSG00000165970" "SLC6A5" 11 20599594 20659285 0.0793539597334683 0.374290281682152 1
"ENSG00000165972" "CCDC38" 12 95867048 95942635 1 1 1
"ENSG00000165973" "NELL1" 11 20669551 21575686 9.0966595721996e-06 0.000144570250679813 0.1697254742981
"ENSG00000165983" "PTER" 10 16436943 16513745 1 1 1
"ENSG00000165985" "C1QL3" 10 16513734 16521879 0.43257587014888 1 1
"ENSG00000165995" "CACNB2" 10 18140424 18543557 1 1 1
"ENSG00000165996" "HACD1" 10 17589032 17617374 0.056513437064666 0.282443916812666 1
"ENSG00000165997" "ARL5B" 10 18659431 18681639 1 1 1
"ENSG00000166002" "SMCO4" 11 93478472 93543391 0.579817475350929 1 1
"ENSG00000166004" "CEP295" 11 93661682 93730358 1 1 1
"ENSG00000166006" "KCNC2" 12 75040077 75209839 1 1 1
"ENSG00000166012" "TAF1D" 11 93729948 93784391 1 1 1
"ENSG00000166016" "ABTB2" 11 34150987 34358010 0.00818861821356027 0.0560261234428337 1
"ENSG00000166024" "R3HCC1L" 10 98134624 98244897 1 1 1
"ENSG00000166025" "AMOTL1" 11 94706431 94876748 2.43703555026852e-08 7.7068151350695e-07 0.000454702092969101
"ENSG00000166033" "HTRA1" 10 122458551 122514907 0.0242431974795961 0.139349839363618 1
"ENSG00000166035" "LIPC" 15 58410569 58569844 0.0330536415213151 0.180801771769187 1
"ENSG00000166037" "CEP57" 11 95789965 95832693 1 1 1
"ENSG00000166046" "TCP11L2" 12 106301929 106347538 1 1 1
"ENSG00000166068" "SPRED1" 15 38252836 38357249 1.30149067325844e-06 2.66556801071781e-05 0.0242832129816559
"ENSG00000166069" "TMCO5A" 15 37921939 37967724 1 1 1
"ENSG00000166073" "GPR176" 15 39799008 39920936 0.0940779957170468 0.431385412653885 1
"ENSG00000166086" "JAM3" 11 134069071 134152001 2.85537418335362e-18 1.77585238376706e-15 5.32755715130118e-14
"ENSG00000166090" "IL25" 14 23372809 23376403 1 1 1
"ENSG00000166091" "CMTM5" 14 23376773 23379772 0.0189753459996445 0.113730165647725 1
"ENSG00000166105" "GLB1L3" 11 134274245 134319564 1.64428669127006e-06 3.25680478616951e-05 0.0306791010857168
"ENSG00000166106" "ADAMTS15" 11 130448645 130476645 0.481539706602225 1 1
"ENSG00000166111" "SVOP" 12 108907741 109021068 0.136883550486787 0.583232081521461 1
"ENSG00000166118" "SPATA19" 11 133840631 133845538 1 1 1
"ENSG00000166123" "GPT2" 16 46884362 46931289 0.0151050248944388 0.0937138985734467 1
"ENSG00000166126" "AMN" 14 102922663 102933596 3.81248175352628e-06 6.7552976787553e-05 0.0711332845572933
"ENSG00000166128" "RAB8B" 15 63189560 63267776 0.00013023437390583 0.00152154849613962 1
"ENSG00000166130" "IKBIP" 12 98613405 98645113 1 1 1
"ENSG00000166133" "RPUSD2" 15 40569299 40574949 1 1 1
"ENSG00000166135" "HIF1AN" 10 100529072 100559998 1 1 1
"ENSG00000166136" "NDUFB8" 10 100523668 100530000 1 1 1
"ENSG00000166140" "ZFYVE19" 15 40807086 40815084 1 1 1
"ENSG00000166143" "PPP1R14D" 15 40815451 40828709 0.0289440255533993 0.161833272033361 1
"ENSG00000166145" "SPINT1" 15 40844018 40858207 0.108761950828804 0.485822475117028 1
"ENSG00000166147" "FBN1" 15 48408313 48645721 0.000478191903810521 0.00476862883019599 1
"ENSG00000166148" "AVPR1A" 12 63142759 63151201 0.000364921265868354 0.0037679584828842 1
"ENSG00000166152" "C16orf78" 16 49373804 49399431 1 1 1
"ENSG00000166153" "DEPDC4" 12 100203669 100267079 1 1 1
"ENSG00000166159" "LRTM2" 12 1820267 1836753 1 1 1
"ENSG00000166164" "BRD7" 16 50313487 50368988 1 1 1
"ENSG00000166165" "CKB" 14 103519667 103522833 9.44513409195244e-10 4.25669835477412e-08 1.76227311887649e-05
"ENSG00000166166" "TRMT61A" 14 103529196 103537073 1 1 1
"ENSG00000166167" "BTRC" 10 101354033 101557321 1 1 1
"ENSG00000166169" "POLL" 10 101578882 101588270 1 1 1
"ENSG00000166170" "BAG5" 14 103556545 103562657 1 1 1
"ENSG00000166171" "DPCD" 10 101570560 101609662 1 1 1
"ENSG00000166173" "LARP6" 15 70829130 70854157 6.78335148605087e-11 4.2614064655467e-09 1.26563772026737e-06
"ENSG00000166181" "API5" 11 43311963 43344529 1 1 1
"ENSG00000166183" "ASPG" 14 104085686 104115582 1 1 1
"ENSG00000166188" "ZNF319" 16 57994676 58000672 1 1 1
"ENSG00000166189" "HPS6" 10 102065349 102068036 1 1 1
"ENSG00000166192" "SENP8" 15 72114258 72143692 0.468972569511635 1 1
"ENSG00000166197" "NOLC1" 10 102152176 102163871 1 1 1
"ENSG00000166199" "ALKBH3" 11 43880811 43920274 1 1 1
"ENSG00000166200" "COPS2" 15 49106068 49155661 1 1 1
"ENSG00000166206" "GABRB3" 15 26543552 26939539 0.833457473210668 1 1
"ENSG00000166211" "SPIC" 12 101475336 101486997 0.0252161650606624 0.144187314649659 1
"ENSG00000166220" "TBATA" 10 70771238 70785401 1 1 1
"ENSG00000166224" "SGPL1" 10 70815905 70958701 1 1 1
"ENSG00000166225" "FRS2" 12 69470349 69579793 1 1 1
"ENSG00000166226" "CCT2" 12 69585426 69601570 1 1 1
"ENSG00000166228" "PCBD1" 10 70882280 70888565 1 1 1
"ENSG00000166233" "ARIH1" 15 72474330 72602987 1 1 1
"ENSG00000166246" "DNAAF8" 16 4734344 4749396 1 1 1
"ENSG00000166250" "CLMP" 11 123069872 123195291 0.131880848655062 0.567620040185962 1
"ENSG00000166257" "SCN3B" 11 123629187 123655244 4.61269774426056e-13 5.24778747026912e-11 8.60637145124135e-09
"ENSG00000166260" "COX11" 17 54951902 54968703 1 1 1
"ENSG00000166261" "ZNF202" 11 123723914 123741675 1 1 1
"ENSG00000166262" "FAM227B" 15 49326962 49620929 1 1 1
"ENSG00000166263" "STXBP4" 17 54968727 55173632 1 1 1
"ENSG00000166265" "CYYR1" 21 26466209 26573286 0.882412029519712 1 1
"ENSG00000166266" "CUL5" 11 108008898 108107761 1 1 1
"ENSG00000166268" "MYRFL" 12 69825227 69959097 0.436978329812547 1 1
"ENSG00000166272" "WBP1L" 10 102743948 102834516 1 1 1
"ENSG00000166275" "BORCS7" 10 102854259 102864961 1 1 1
"ENSG00000166278" "C2" 6 31897785 31945673 0.908326167738718 1 1
"ENSG00000166289" "PLEKHF1" 19 29665459 29675477 0.000764554042970256 0.00718150804287316 1
"ENSG00000166292" "TMEM100" 17 55719627 55732121 0.00618092196644385 0.0440839610282528 1
"ENSG00000166295" "ANAPC16" 10 72216000 72235860 1 1 1
"ENSG00000166311" "SMPD1" 11 6390440 6394998 1 1 1
"ENSG00000166313" "APBB1" 11 6395125 6419414 0.000311027718636472 0.00328047211663047 1
"ENSG00000166317" "SYNPO2L" 10 73644881 73663803 0.931189317888205 1 1
"ENSG00000166321" "NUDT13" 10 73110375 73131828 1 1 1
"ENSG00000166323" "C11orf65" 11 108308519 108467531 1 1 1
"ENSG00000166326" "TRIM44" 11 35662775 35818007 1 1 1
"ENSG00000166329" "CCDC182" 17 57744495 57745299 1 1 1
"ENSG00000166333" "ILK" 11 6603708 6610874 1 1 1
"ENSG00000166337" "TAF10" 11 6606294 6612539 1 1 1
"ENSG00000166340" "TPP1" 11 6612768 6619448 1 1 1
"ENSG00000166341" "DCHS1" 11 6621330 6655809 0.00152626806396579 0.0131716510349092 1
"ENSG00000166342" "NETO1" 18 72742314 72868146 1 1 1
"ENSG00000166343" "MSS51" 10 73423579 73433561 1 1 1
"ENSG00000166347" "CYB5A" 18 74250846 74291973 1 1 1
"ENSG00000166348" "USP54" 10 73497538 73626117 1 1 1
"ENSG00000166349" "RAG1" 11 36510372 36593156 0.00151324668858212 0.0130713688497987 1
"ENSG00000166351" "POTED" 21 13609777 13645823 1 1 1
"ENSG00000166352" "IFTAP" 11 36594369 36675695 0.895681623056721 1 1
"ENSG00000166359" "WDR88" 19 33132090 33175799 1 1 1
"ENSG00000166363" "OR10A5" 11 6845683 6846636 1 1 1
"ENSG00000166368" "OR2D2" 11 6891574 6892500 0.0217524878214519 0.12711819372939 1
"ENSG00000166377" "ATP9B" 18 79069285 79378287 1 1 1
"ENSG00000166387" "PPFIBP2" 11 7513298 7657127 1 1 1
"ENSG00000166391" "MOGAT2" 11 75717838 75732958 1 1 1
"ENSG00000166394" "CYB5R2" 11 7665100 7677222 0.00020414253722653 0.00226584857797299 1
"ENSG00000166396" "SERPINB7" 18 63752935 63805376 1 1 1
"ENSG00000166398" "GARRE1" 19 34254552 34355566 1 1 1
"ENSG00000166401" "SERPINB8" 18 63970029 64019779 1.29683472417067e-15 3.10209516456106e-13 2.41963422835763e-11
"ENSG00000166402" "TUB" 11 8019244 8106243 0.477103258333798 1 1
"ENSG00000166405" "RIC3" 11 8106056 8169055 0.390922367217041 1 1
"ENSG00000166407" "LMO1" 11 8224309 8268716 1 1 1
"ENSG00000166411" "IDH3A" 15 78131498 78171945 1 1 1
"ENSG00000166415" "WDR72" 15 53513741 53762878 1.37122020970786e-06 2.78089420355753e-05 0.0255842266727293
"ENSG00000166426" "CRABP1" 15 78340353 78348225 0.000125435028200275 0.00147007962070398 1
"ENSG00000166428" "PLD4" 14 104924713 104937761 0.951413731563777 1 1
"ENSG00000166435" "XRRA1" 11 74807739 74949200 1 1 1
"ENSG00000166436" "TRIM66" 11 8612037 8682694 1 1 1
"ENSG00000166439" "RNF169" 11 74748849 74842413 1 1 1
"ENSG00000166441" "RPL27A" 11 8682788 8714759 1 1 1
"ENSG00000166444" "DENND2B" 11 8693351 8910951 0.143879209960277 0.608040384923862 1
"ENSG00000166446" "CDYL2" 16 80597907 80804598 1.11956879138715e-08 3.83987399075395e-07 0.000208889145097015
"ENSG00000166448" "TMEM130" 7 98846488 98870771 0.359958432694794 1 1
"ENSG00000166450" "PRTG" 15 55611544 55743152 1 1 1
"ENSG00000166451" "CENPN" 16 81006552 81033114 1 1 1
"ENSG00000166452" "AKIP1" 11 8911139 8920084 1 1 1
"ENSG00000166454" "ATMIN" 16 81035842 81047350 1 1 1
"ENSG00000166455" "C16orf46" 16 81053497 81077267 0.0154326787318823 0.095376919436721 1
"ENSG00000166471" "TMEM41B" 11 9280654 9314636 1 1 1
"ENSG00000166473" "PKD1L2" 16 81100875 81220370 1 1 1
"ENSG00000166477" "LEO1" 15 51938025 51971778 1 1 1
"ENSG00000166478" "ZNF143" 11 9460319 9528524 1 1 1
"ENSG00000166479" "TMX3" 18 68673688 68715108 1 1 1
"ENSG00000166482" "MFAP4" 17 19383442 19387190 0.115647839554044 0.508545225170718 1
"ENSG00000166483" "WEE1" 11 9573670 9593457 1.7967196025385e-09 7.61890780549167e-08 3.35231943441633e-05
"ENSG00000166484" "MAPK7" 17 19377721 19383544 1 1 1
"ENSG00000166501" "PRKCB" 16 23835983 24220611 4.57714861300336e-06 7.94422686710854e-05 0.0854004388214167
"ENSG00000166503" "HDGFL3" 15 83112738 83207875 2.02647016496409e-06 3.89391146631308e-05 0.0378098803379
"ENSG00000166507" "NDST2" 10 73801911 73811798 1 1 1
"ENSG00000166508" "MCM7" 7 100092233 100101940 1 1 1
"ENSG00000166509" "CLEC3A" 16 78022515 78066761 1 1 1
"ENSG00000166510" "CCDC68" 18 54901509 54959461 0.814382634604669 1 1
"ENSG00000166523" "CLEC4E" 12 8533305 8540905 0.442899672325062 1 1
"ENSG00000166526" "ZNF3" 7 100064033 100082548 1 1 1
"ENSG00000166527" "CLEC4D" 12 8509475 8522366 0.702014731775677 1 1
"ENSG00000166529" "ZSCAN21" 7 100049774 100065040 1 1 1
"ENSG00000166532" "RIMKLB" 12 8681600 8783095 0.034181772316851 0.185725546354844 1
"ENSG00000166535" "A2ML1" 12 8822621 8887001 1 1 1
"ENSG00000166546" "BEAN1" 16 66427295 66493529 2.74552530159516e-07 6.56743731758493e-06 0.00512260110771625
"ENSG00000166548" "TK2" 16 66508003 66552544 1 1 1
"ENSG00000166557" "TMED3" 15 79311112 79427432 1 1 1
"ENSG00000166558" "SLC38A8" 16 84009667 84042795 1 1 1
"ENSG00000166562" "SEC11C" 18 59139475 59158832 1 1 1
"ENSG00000166569" "CPLX4" 18 59275156 59318649 0.16791525831824 0.690536233127998 1
"ENSG00000166573" "GALR1" 18 77249848 77277900 1 1 1
"ENSG00000166575" "TMEM135" 11 87037844 87328824 1 1 1
"ENSG00000166578" "IQCD" 12 113195441 113221094 1 1 1
"ENSG00000166579" "NDEL1" 17 8413131 8490411 1 1 1
"ENSG00000166582" "CENPV" 17 16342534 16353656 0.000139418517053343 0.00161269106706836 1
"ENSG00000166589" "CDH16" 16 66908122 66918917 1 1 1
"ENSG00000166592" "RRAD" 16 66921685 66925535 0.488574369754749 1 1
"ENSG00000166595" "CIAO2B" 16 66932065 66934423 1 1 1
"ENSG00000166596" "CFAP52" 17 9576627 9643447 1 1 1
"ENSG00000166598" "HSP90B1" 12 103930107 103953931 1 1 1
"ENSG00000166603" "MC4R" 18 60371062 60372775 2.01606989655867e-09 8.37769089754824e-08 3.76158321299916e-05
"ENSG00000166619" "BLCAP" 20 37492472 37527931 1 1 1
"ENSG00000166634" "SERPINB12" 18 63542369 63569329 1 1 1
"ENSG00000166664" "CHRFAM7A" 15 30360566 30393849 6.35387018665622e-10 3.00127873272486e-08 1.18550509942632e-05
"ENSG00000166669" "ATF7IP2" 16 10326434 10483638 0.779782887991258 1 1
"ENSG00000166670" "MMP10" 11 102770502 102780628 1 1 1
"ENSG00000166676" "TVP23A" 16 10760919 10818794 1 1 1
"ENSG00000166682" "TMPRSS5" 11 113687547 113706373 1 1 1
"ENSG00000166685" "COG1" 17 73193055 73208507 1 1 1
"ENSG00000166689" "PLEKHA7" 11 16777297 17014415 0.158473427856256 0.659263593521074 1
"ENSG00000166704" "ZNF606" 19 57977076 58003349 0.480252204574425 1 1
"ENSG00000166710" "B2M" 15 44711358 44718851 1 1 1
"ENSG00000166716" "ZNF592" 15 84748592 84806445 1 1 1
"ENSG00000166734" "GOLM2" 15 44288719 44415758 1 1 1
"ENSG00000166736" "HTR3A" 11 113975075 113990313 1 1 1
"ENSG00000166741" "NNMT" 11 114257787 114313536 0.0102180483169857 0.0673431103844293 1
"ENSG00000166743" "ACSM1" 16 20623235 20698890 0.000602990506802521 0.00586273938297105 1
"ENSG00000166747" "AP1G1" 16 71729000 71809201 1 1 1
"ENSG00000166750" "SLFN5" 17 35243071 35273655 0.0965254845776241 0.439547583453397 1
"ENSG00000166762" "CATSPER2" 15 43628503 43668118 0.415584673845646 1 1
"ENSG00000166780" "BMERB1" 16 15434475 15625028 0.0067485990632287 0.047461924777509 1
"ENSG00000166783" "MARF1" 16 15594387 15643154 1 1 1
"ENSG00000166788" "SAAL1" 11 18069935 18106087 1 1 1
"ENSG00000166793" "YPEL4" 11 57645087 57649944 0.00136917491292515 0.0119541719819174 1
"ENSG00000166794" "PPIB" 15 64155740 64163134 1 1 1
"ENSG00000166796" "LDHC" 11 18412318 18452063 0.0495197858285362 0.253929293584678 1
"ENSG00000166797" "CIAO2A" 15 64072565 64094262 1 1 1
"ENSG00000166800" "LDHAL6A" 11 18455824 18479601 0.000712508236479974 0.00675163975431354 1
"ENSG00000166801" "FAM111A" 11 59142748 59155039 1 1 1
"ENSG00000166803" "PCLAF" 15 64364304 64387687 8.91720856057034e-05 0.00107757303965752 1
"ENSG00000166813" "KIF7" 15 89608789 89663086 3.78497833532641e-06 6.71293971297719e-05 0.0706201257805201
"ENSG00000166816" "LDHD" 16 75111860 75116780 0.0129703859773306 0.0823134223010319 1
"ENSG00000166819" "PLIN1" 15 89664367 89679427 0.986916003318604 1 1
"ENSG00000166821" "PEX11A" 15 89677764 89690783 0.0375041858635583 0.201020712393643 1
"ENSG00000166822" "TMEM170A" 16 75443054 75465497 1 1 1
"ENSG00000166823" "MESP1" 15 89749875 89751249 0.014833512326783 0.0922238163922416 1
"ENSG00000166825" "ANPEP" 15 89784895 89815401 0.2734581164608 1 1
"ENSG00000166828" "SCNN1G" 16 23182745 23216883 0.000193447720834986 0.00216128597325698 1
"ENSG00000166831" "RBPMS2" 15 64739891 64775589 0.9056684465714 1 1
"ENSG00000166833" "NAV2" 11 19350724 20121601 0.643896028409527 1 1
"ENSG00000166839" "ANKDD1A" 15 64911902 64958691 1 1 1
"ENSG00000166840" "GLYATL1" 11 58905398 59043527 6.30128815848051e-06 0.000104043747310557 0.117569434460929
"ENSG00000166845" "C18orf54" 18 54357906 54385218 0.00117206597833917 0.0104533494377879 1
"ENSG00000166847" "DCTN5" 16 23641466 23677472 1 1 1
"ENSG00000166848" "TERF2IP" 16 75647773 75761872 1 1 1
"ENSG00000166851" "PLK1" 16 23677656 23690367 5.62350080091264e-12 4.6426229178508e-10 1.04923277943428e-07
"ENSG00000166855" "CLPX" 15 65148219 65185342 1 1 1
"ENSG00000166856" "GPR182" 12 56994492 56998447 1 1 1
"ENSG00000166860" "ZBTB39" 12 56998836 57006546 1 1 1
"ENSG00000166862" "CACNG2" 22 36560857 36703752 1 1 1
"ENSG00000166863" "TAC3" 12 57010000 57028883 1 1 1
"ENSG00000166866" "MYO1A" 12 57028517 57051198 0.432946415971371 1 1
"ENSG00000166869" "CHP2" 16 23755026 23758935 1 1 1
"ENSG00000166881" "NEMP1" 12 57055643 57088063 1 1 1
"ENSG00000166884" "OR4D6" 11 59456961 59457905 1 1 1
"ENSG00000166886" "NAB2" 12 57089043 57095476 1 1 1
"ENSG00000166887" "VPS39" 15 42158701 42208307 1 1 1
"ENSG00000166888" "STAT6" 12 57095408 57132139 1 1 1
"ENSG00000166889" "PATL1" 11 59636716 59669037 1 1 1
"ENSG00000166896" "ATP23" 12 57906039 57959148 1 1 1
"ENSG00000166897" "ELFN2" 22 37367960 37427479 0.012614529373007 0.0803557149339587 1
"ENSG00000166900" "STX3" 11 59713456 59805882 1 1 1
"ENSG00000166902" "MRPL16" 11 59806140 59810778 1 1 1
"ENSG00000166908" "PIP4K2C" 12 57591174 57603418 1 1 1
"ENSG00000166912" "MTMR10" 15 30938941 30991628 1 1 1
"ENSG00000166913" "YWHAB" 20 44885702 44908532 1 1 1
"ENSG00000166920" "C15orf48" 15 45430579 45448761 0.133943410886501 0.574245441250078 1
"ENSG00000166922" "SCG5" 15 32641676 32697098 0.607949268645092 1 1
"ENSG00000166923" "GREM1" 15 32718004 32745106 0.000156782596713793 0.0017935313853378 1
"ENSG00000166924" "NYAP1" 7 100483927 100494802 1 1 1
"ENSG00000166925" "TSC22D4" 7 100463359 100479232 1 1 1
"ENSG00000166926" "MS4A6E" 11 60327255 60396596 1 1 1
"ENSG00000166927" "MS4A7" 11 60378485 60395951 0.0878577083192474 0.407469331797295 1
"ENSG00000166928" "MS4A14" 11 60378530 60417756 0.993666928072799 1 1
"ENSG00000166930" "MS4A5" 11 60429572 60455214 1 1 1
"ENSG00000166938" "DIS3L" 15 66293217 66333898 1 1 1
"ENSG00000166946" "CCNDBP1" 15 43185118 43197177 1 1 1
"ENSG00000166947" "EPB42" 15 43197227 43221018 0.0963199601205535 0.439075938414192 1
"ENSG00000166948" "TGM6" 20 2380901 2432753 1 1 1
"ENSG00000166949" "SMAD3" 15 67063763 67195173 0.412728208079993 1 1
"ENSG00000166959" "MS4A8" 11 60699585 60715807 1 1 1
"ENSG00000166960" "CCDC178" 18 32937402 33441101 1 1 1
"ENSG00000166961" "MS4A15" 11 60756867 60776733 1 1 1
"ENSG00000166963" "MAP1A" 15 43510958 43531620 0.154439968784539 0.645217406534244 1
"ENSG00000166965" "RCCD1" 15 90954881 90963125 1 1 1
"ENSG00000166971" "AKTIP" 16 53491040 53504411 1 1 1
"ENSG00000166974" "MAPRE2" 18 34976928 35143470 0.000165764659249668 0.00188587622700019 1
"ENSG00000166979" "EVA1C" 21 32412006 32515397 0.290875906511846 1 1
"ENSG00000166986" "MARS1" 12 57475445 57517569 1 1 1
"ENSG00000166987" "MBD6" 12 57520710 57530148 1 1 1
"ENSG00000166997" "CNPY4" 7 100119634 100125508 1 1 1
"ENSG00000167004" "PDIA3" 15 43746394 43773279 1 1 1
"ENSG00000167005" "NUDT21" 16 56429133 56452199 1 1 1
"ENSG00000167011" "NAT16" 7 101170496 101180293 1 1 1
"ENSG00000167014" "TERB2" 15 44956687 44979229 1 1 1
"ENSG00000167034" "NKX3-1" 8 23678697 23682938 2.25059466070124e-05 0.000319590789269661 0.419915951793637
"ENSG00000167037" "SGSM1" 22 24806169 24927578 1.63883531708417e-14 2.83498541147609e-12 3.05773893461564e-10
"ENSG00000167065" "DUSP18" 22 30652051 30667887 1 1 1
"ENSG00000167074" "TEF" 22 41367333 41399326 1 1 1
"ENSG00000167077" "MEI1" 22 41699503 41799456 1 1 1
"ENSG00000167080" "B4GALNT2" 17 49132460 49176840 1 1 1
"ENSG00000167081" "PBX3" 9 125747345 125967377 1 1 1
"ENSG00000167083" "GNGT2" 17 49202791 49210574 0.339463515277074 1 1
"ENSG00000167085" "PHB1" 17 49404049 49414905 1 1 1
"ENSG00000167088" "SNRPD1" 18 21612314 21633524 1 1 1
"ENSG00000167094" "TTC16" 9 127716079 127731590 0.347777308712011 1 1
"ENSG00000167098" "SUN5" 20 32983773 33004433 1 1 1
"ENSG00000167100" "SAMD14" 17 50110040 50130160 0.406474966724721 1 1
"ENSG00000167103" "PIP5KL1" 9 127920881 127930785 8.4639327324775e-10 3.86112608612629e-08 1.57920056922565e-05
"ENSG00000167104" "BPIFB6" 20 33031648 33044047 1 1 1
"ENSG00000167105" "TMEM92" 17 50271406 50281485 1 1 1
"ENSG00000167106" "EEIG1" 9 127940582 127980989 0.991058964019936 1 1
"ENSG00000167107" "ACSF2" 17 50426158 50474845 1 1 1
"ENSG00000167110" "GOLGA2" 9 128255829 128276026 1 1 1
"ENSG00000167112" "TRUB2" 9 128305159 128322447 1 1 1
"ENSG00000167113" "COQ4" 9 128322544 128334072 1 1 1
"ENSG00000167114" "SLC27A4" 9 128340527 128361470 1 1 1
"ENSG00000167117" "ANKRD40CL" 17 50761029 50767557 1 1 1
"ENSG00000167118" "URM1" 9 128371361 128392016 1 1 1
"ENSG00000167123" "CERCAM" 9 128411751 128437351 6.1952446864576e-06 0.00010256510679674 0.115590875359926
"ENSG00000167130" "DOLPP1" 9 129081111 129090438 1 1 1
"ENSG00000167131" "CCDC103" 17 44899142 44905390 0.734990705608911 1 1
"ENSG00000167136" "ENDOG" 9 128818500 128822676 1 1 1
"ENSG00000167139" "TBC1D21" 15 73873564 73889214 1 1 1
"ENSG00000167157" "PRRX2" 9 129665647 129722674 1 1 1
"ENSG00000167165" "UGT1A6" 2 233691607 233773300 0.138378016970582 0.588524513480081 1
"ENSG00000167173" "C15orf39" 15 75195643 75212169 1 1 1
"ENSG00000167178" "ISLR2" 15 74100311 74138540 0.0130129686980173 0.0825275220828031 1
"ENSG00000167182" "SP2" 17 47896150 47928957 1 1 1
"ENSG00000167183" "PRR15L" 17 47951967 47957883 0.371017675221304 1 1
"ENSG00000167186" "COQ7" 16 19067614 19080095 1 1 1
"ENSG00000167191" "GPRC5B" 16 19856691 19886167 0.828284264883473 1 1
"ENSG00000167193" "CRK" 17 1420689 1463162 1 1 1
"ENSG00000167194" "C16orf92" 16 30023198 30027736 1 1 1
"ENSG00000167195" "GOLGA6C" 15 75258334 75273455 0.947313601535084 1 1
"ENSG00000167196" "FBXO22" 15 75903876 75942511 1 1 1
"ENSG00000167202" "TBC1D2B" 15 77984036 78077724 1 1 1
"ENSG00000167207" "NOD2" 16 50693588 50733077 0.00124984935358094 0.011036294008099 1
"ENSG00000167208" "SNX20" 16 50666300 50681353 1 1 1
"ENSG00000167210" "LOXHD1" 18 46476972 46657220 0.372943821431539 1 1
"ENSG00000167216" "KATNAL2" 18 46917492 47103478 0.280542425598587 1 1
"ENSG00000167220" "HDHD2" 18 47107408 47150500 1 1 1
"ENSG00000167232" "ZNF91" 19 23304991 23395471 0.628703333641233 1 1
"ENSG00000167244" "IGF2" 11 2129112 2158391 0.00574511679169663 0.0413710494401682 1
"ENSG00000167257" "RNF214" 11 117232625 117286454 1 1 1
